Date, Time, Open, High, Low, Last, Volume, # of Trades, OHLC Avg, HLC Avg, HL Avg, Bid Volume, Ask Volume, Open, High, Low, Close, Ask Volume, Bid Volume, Zero Line, Difference
2025-7-28, 16:00:00.000000, 636.90, 637.13, 636.79, 636.97, 1489994, 2510, 636.95, 636.96, 636.96, 377639, 1112355
2025-7-28, 16:05:00.000000, 636.97, 637.04, 636.90, 636.94, 148242, 538, 636.96, 636.96, 636.97, 65077, 83165
2025-7-28, 16:10:00.000000, 636.94, 637.00, 636.82, 636.94, 108644, 407, 636.92, 636.92, 636.91, 71190, 37454
2025-7-28, 16:15:00.000000, 636.95, 637.01, 636.89, 636.98, 56415, 250, 636.96, 636.96, 636.95, 30524, 25891
2025-7-28, 16:20:00.000000, 636.94, 637.11, 636.94, 637.11, 269928, 90, 637.03, 637.05, 637.03, 256062, 13866
2025-7-28, 16:25:00.000000, 637.10, 637.10, 637.00, 637.00, 14676, 56, 637.05, 637.03, 637.05, 7614, 7062
2025-7-28, 16:30:00.000000, 637.03, 637.15, 637.00, 637.07, 55364, 207, 637.06, 637.07, 637.08, 36552, 18812
2025-7-28, 16:35:00.000000, 637.06, 637.06, 636.96, 636.99, 14270, 61, 637.02, 637.00, 637.01, 10793, 3477
2025-7-28, 16:40:00.000000, 636.97, 637.08, 636.97, 637.05, 14615, 44, 637.02, 637.03, 637.03, 2262, 12353
2025-7-28, 16:45:00.000000, 637.03, 637.05, 636.97, 637.03, 13160, 44, 637.02, 637.02, 637.01, 8068, 5092
2025-7-28, 16:50:00.000000, 636.99, 637.08, 636.99, 637.02, 7401, 20, 637.02, 637.03, 637.04, 1897, 5504
2025-7-28, 16:55:00.000000, 637.03, 637.03, 636.99, 637.01, 7463, 35, 637.02, 637.01, 637.01, 3306, 4157
2025-7-28, 17:00:00.000000, 636.94, 636.94, 636.90, 636.90, 6263, 16, 636.92, 636.91, 636.92, 6263, 0
2025-7-28, 17:05:00.000000, 636.95, 636.98, 636.95, 636.98, 850, 5, 636.96, 636.97, 636.96, 400, 450
2025-7-28, 17:10:00.000000, 637.00, 637.00, 636.96, 636.96, 7087, 5, 636.98, 636.97, 636.98, 6618, 469
2025-7-28, 17:15:00.000000, 636.99, 636.99, 636.95, 636.96, 1954, 6, 636.97, 636.97, 636.97, 1654, 300
2025-7-28, 17:20:00.000000, 636.98, 636.99, 636.96, 636.96, 779, 4, 636.97, 636.97, 636.97, 200, 579
2025-7-28, 17:25:00.000000, 637.00, 637.01, 636.98, 636.98, 823, 5, 636.99, 636.99, 636.99, 400, 423
2025-7-28, 17:30:00.000000, 636.99, 636.99, 636.99, 636.99, 154, 1, 636.99, 636.99, 636.99, 154, 0
2025-7-28, 17:35:00.000000, 637.04, 637.04, 637.04, 637.04, 350, 2, 637.04, 637.04, 637.04, 0, 350
2025-7-28, 17:40:00.000000, 637.04, 637.04, 636.99, 637.00, 3952, 12, 637.02, 637.01, 637.02, 1533, 2419
2025-7-28, 17:45:00.000000, 636.99, 636.99, 636.99, 636.99, 100, 1, 636.99, 636.99, 636.99, 0, 100
2025-7-28, 17:50:00.000000, 637.00, 637.00, 636.98, 637.00, 969, 5, 636.99, 636.99, 636.99, 100, 869
2025-7-28, 17:55:00.000000, 636.97, 637.04, 636.97, 637.04, 2194, 9, 637.01, 637.02, 637.01, 0, 2194
2025-7-28, 18:00:00.000000, 637.00, 637.14, 637.00, 637.14, 6089, 18, 637.07, 637.09, 637.07, 3809, 2280
2025-7-28, 18:05:00.000000, 637.11, 637.29, 637.11, 637.29, 5085, 31, 637.20, 637.23, 637.20, 4429, 656
2025-7-28, 18:10:00.000000, 637.26, 637.30, 637.25, 637.29, 7902, 34, 637.28, 637.28, 637.28, 7438, 464
2025-7-28, 18:15:00.000000, 637.32, 637.45, 637.32, 637.39, 5299, 19, 637.37, 637.39, 637.39, 3400, 1899
2025-7-28, 18:20:00.000000, 637.40, 637.45, 637.36, 637.45, 700, 3, 637.42, 637.42, 637.41, 400, 300
2025-7-28, 18:25:00.000000, 637.42, 637.42, 637.36, 637.36, 300, 3, 637.39, 637.38, 637.39, 200, 100
2025-7-28, 18:30:00.000000, 636.94, 637.38, 636.94, 637.36, 2623, 18, 637.16, 637.23, 637.16, 562, 2061
2025-7-28, 18:35:00.000000, 637.36, 637.36, 637.36, 637.36, 200, 1, 637.36, 637.36, 637.36, 0, 200
2025-7-28, 18:40:00.000000, 637.31, 637.31, 637.27, 637.27, 1286, 6, 637.29, 637.28, 637.29, 200, 1086
2025-7-28, 18:45:00.000000, 637.34, 637.34, 637.34, 637.34, 157, 1, 637.34, 637.34, 637.34, 0, 157
2025-7-28, 18:50:00.000000, 637.43, 637.43, 637.43, 637.43, 3313, 7, 637.43, 637.43, 637.43, 3313, 0
2025-7-28, 18:55:00.000000, 637.43, 637.43, 637.43, 637.43, 1487, 8, 637.43, 637.43, 637.43, 697, 790
2025-7-28, 19:00:00.000000, 637.45, 637.45, 637.36, 637.37, 2570, 11, 637.41, 637.39, 637.41, 313, 2257
2025-7-28, 19:05:00.000000, 637.32, 637.33, 637.32, 637.33, 200, 2, 637.33, 637.33, 637.33, 200, 0
2025-7-28, 19:10:00.000000, 637.22, 637.26, 637.21, 637.24, 900, 6, 637.23, 637.24, 637.23, 600, 300
2025-7-28, 19:20:00.000000, 637.22, 637.27, 637.22, 637.27, 5884, 6, 637.24, 637.25, 637.24, 5360, 524
2025-7-28, 19:25:00.000000, 637.33, 637.33, 637.21, 637.32, 7367, 33, 637.30, 637.29, 637.27, 3503, 3864
2025-7-28, 19:30:00.000000, 637.29, 637.32, 637.29, 637.30, 860, 4, 637.30, 637.30, 637.30, 100, 760
2025-7-28, 19:35:00.000000, 637.32, 637.32, 637.28, 637.28, 654, 5, 637.30, 637.29, 637.30, 164, 490
2025-7-28, 19:40:00.000000, 637.28, 637.36, 637.28, 637.35, 1099, 5, 637.32, 637.33, 637.32, 100, 999
2025-7-28, 19:45:00.000000, 637.30, 637.30, 637.30, 637.30, 200, 1, 637.30, 637.30, 637.30, 200, 0
2025-7-28, 19:50:00.000000, 637.33, 637.38, 637.33, 637.35, 936, 5, 637.35, 637.35, 637.35, 724, 212
2025-7-28, 19:55:00.000000, 637.35, 637.38, 637.34, 637.38, 3698, 21, 637.36, 637.37, 637.36, 3448, 250
2025-7-28, 20:00:00.000000, 636.94, 636.94, 636.94, 636.94, 1, 1, 636.94, 636.94, 636.94, 1, 0
2025-7-29, 04:00:00.000000, 638.44, 638.49, 638.10, 638.45, 4516, 37, 638.37, 638.35, 638.29, 1300, 3216
2025-7-29, 04:05:00.000000, 638.44, 638.61, 638.42, 638.55, 12645, 49, 638.51, 638.53, 638.52, 4131, 8514
2025-7-29, 04:10:00.000000, 638.56, 638.56, 638.47, 638.47, 536, 5, 638.52, 638.50, 638.52, 300, 236
2025-7-29, 04:15:00.000000, 638.53, 638.53, 638.43, 638.49, 1844, 16, 638.49, 638.48, 638.48, 1644, 200
2025-7-29, 04:20:00.000000, 638.53, 638.53, 638.53, 638.53, 100, 1, 638.53, 638.53, 638.53, 0, 100
2025-7-29, 04:25:00.000000, 638.54, 638.55, 638.52, 638.55, 300, 3, 638.54, 638.54, 638.54, 100, 200
2025-7-29, 04:30:00.000000, 638.50, 638.51, 638.49, 638.51, 548, 4, 638.50, 638.50, 638.50, 548, 0
