Date, Time, Open, High, Low, Last, Volume, # of Trades, OHLC Avg, HLC Avg, HL Avg, Bid Volume, Ask Volume, K, L, M, N, Open, High, Low, Close, Ask Volume, Bid Volume, Zero Line, Difference
2025-7-28, 18:00:00.000000, 637.00, 637.14, 637.00, 637.14, 6089, 18, 637.07, 637.09, 637.07, 3809, 2280, 0.000, 0.000, 0.000, 0.000, -1109, -1109, -1779, -1529, 2280, -3809, 0, -1529
2025-7-28, 18:05:00.000000, 637.11, 637.29, 637.11, 637.29, 5085, 31, 637.20, 637.23, 637.20, 4429, 656, 0.000, 0.000, 0.000, 0.000, -128, -128, -4223, -3773, 656, -4429, 0, -3773
2025-7-28, 18:10:00.000000, 637.26, 637.30, 637.25, 637.29, 7902, 34, 637.28, 637.28, 637.28, 7438, 464, 0.000, 0.000, 0.000, 0.000, 0, 100, -6974, -6974, 464, -7438, 0, -6974
2025-7-28, 18:15:00.000000, 637.32, 637.45, 637.32, 637.39, 5299, 19, 637.37, 637.39, 637.39, 3400, 1899, 0.000, 0.000, 0.000, 0.000, -401, -401, -1501, -1501, 1899, -3400, 0, -1501
2025-7-28, 18:20:00.000000, 637.40, 637.45, 637.36, 637.45, 700, 3, 637.42, 637.42, 637.41, 400, 300, 0.000, 0.000, 0.000, 0.000, 0, 300, -100, -100, 300, -400, 0, -100
2025-7-28, 18:25:00.000000, 637.42, 637.42, 637.36, 637.36, 300, 3, 637.39, 637.38, 637.39, 200, 100, 0.000, 0.000, 0.000, 0.000, 0, 100, -100, -100, 100, -200, 0, -100
2025-7-28, 18:30:00.000000, 636.94, 637.38, 636.94, 637.36, 2623, 18, 637.16, 637.23, 637.16, 562, 2061, 0.000, 0.000, 0.000, 0.000, 0, 1760, -1, 1499, 2061, -562, 0, 1499
2025-7-28, 18:35:00.000000, 637.36, 637.36, 637.36, 637.36, 200, 1, 637.36, 637.36, 637.36, 0, 200, 0.000, 0.000, 0.000, 0.000, 200, 200, 200, 200, 200, 0, 0, 200
2025-7-28, 18:40:00.000000, 637.31, 637.31, 637.27, 637.27, 1286, 6, 637.29, 637.28, 637.29, 200, 1086, 0.000, 0.000, 0.000, 0.000, 500, 986, 500, 886, 1086, -200, 0, 886
2025-7-28, 18:45:00.000000, 637.34, 637.34, 637.34, 637.34, 157, 1, 637.34, 637.34, 637.34, 0, 157, 0.000, 0.000, 0.000, 0.000, 157, 157, 157, 157, 157, 0, 0, 157
2025-7-28, 18:50:00.000000, 637.43, 637.43, 637.43, 637.43, 3313, 7, 637.43, 637.43, 637.43, 3313, 0, 0.000, 0.000, 0.000, 0.000, -3313, -3313, -3313, -3313, 0, -3313, 0, -3313
2025-7-28, 18:55:00.000000, 637.43, 637.43, 637.43, 637.43, 1487, 8, 637.43, 637.43, 637.43, 697, 790, 0.000, 0.000, 0.000, 0.000, 0, 93, -107, 93, 790, -697, 0, 93
2025-7-28, 19:00:00.000000, 637.45, 637.45, 637.36, 637.37, 2570, 11, 637.41, 637.39, 637.41, 313, 2257, 0.000, 0.000, 0.000, 0.000, 0, 1944, -313, 1944, 2257, -313, 0, 1944
2025-7-28, 19:05:00.000000, 637.32, 637.33, 637.32, 637.33, 200, 2, 637.33, 637.33, 637.33, 200, 0, 0.000, 0.000, 0.000, 0.000, -200, -200, -200, -200, 0, -200, 0, -200
2025-7-28, 19:10:00.000000, 637.22, 637.26, 637.21, 637.24, 900, 6, 637.23, 637.24, 637.23, 600, 300, 0.000, 0.000, 0.000, 0.000, 0, 100, -300, -300, 300, -600, 0, -300
2025-7-28, 19:20:00.000000, 637.22, 637.27, 637.22, 637.27, 5884, 6, 637.24, 637.25, 637.24, 5360, 524, 0.000, 0.000, 0.000, 0.000, -876, -876, -4836, -4836, 524, -5360, 0, -4836
2025-7-28, 19:25:00.000000, 637.33, 637.33, 637.21, 637.32, 7367, 33, 637.30, 637.29, 637.27, 3503, 3864, 0.000, 0.000, 0.000, 0.000, 0, 361, -1503, 361, 3864, -3503, 0, 361
2025-7-28, 19:30:00.000000, 637.29, 637.32, 637.29, 637.30, 860, 4, 637.30, 637.30, 637.30, 100, 760, 0.000, 0.000, 0.000, 0.000, 0, 660, -100, 660, 760, -100, 0, 660
2025-7-28, 19:35:00.000000, 637.32, 637.32, 637.28, 637.28, 654, 5, 637.30, 637.29, 637.30, 164, 490, 0.000, 0.000, 0.000, 0.000, 135, 490, 135, 326, 490, -164, 0, 326
2025-7-28, 19:40:00.000000, 637.28, 637.36, 637.28, 637.35, 1099, 5, 637.32, 637.33, 637.32, 100, 999, 0.000, 0.000, 0.000, 0.000, 0, 899, -100, 899, 999, -100, 0, 899
2025-7-28, 19:45:00.000000, 637.30, 637.30, 637.30, 637.30, 200, 1, 637.30, 637.30, 637.30, 200, 0, 0.000, 0.000, 0.000, 0.000, -200, -200, -200, -200, 0, -200, 0, -200
2025-7-28, 19:50:00.000000, 637.33, 637.38, 637.33, 637.35, 936, 5, 637.35, 637.35, 637.35, 724, 212, 0.000, 0.000, 0.000, 0.000, -24, -24, -524, -512, 212, -724, 0, -512
2025-7-28, 19:55:00.000000, 637.35, 637.38, 637.34, 637.38, 3698, 21, 637.36, 637.37, 637.36, 3448, 250, 0.000, 0.000, 0.000, 0.000, -100, -100, -3298, -3198, 250, -3448, 0, -3198
2025-7-28, 20:00:00.000000, 636.94, 636.94, 636.94, 636.94, 1, 1, 636.94, 636.94, 636.94, 1, 0, 0.000, 0.000, 0.000, 0.000, -1, -1, -1, -1, 0, -1, 0, -1
2025-7-29, 04:00:00.000000, 638.44, 638.49, 638.10, 638.45, 4516, 37, 638.37, 638.35, 638.29, 1300, 3216, 0.000, 0.000, 0.000, 0.000, 300, 1916, 300, 1916, 3216, -1300, 0, 1916
2025-7-29, 04:05:00.000000, 638.44, 638.61, 638.42, 638.55, 12645, 49, 638.51, 638.53, 638.52, 4131, 8514, 0.000, 0.000, 0.000, 0.000, 0, 4383, -300, 4383, 8514, -4131, 0, 4383
2025-7-29, 04:10:00.000000, 638.56, 638.56, 638.47, 638.47, 536, 5, 638.52, 638.50, 638.52, 300, 236, 0.000, 0.000, 0.000, 0.000, 0, 236, -64, -64, 236, -300, 0, -64
2025-7-29, 04:15:00.000000, 638.53, 638.53, 638.43, 638.49, 1844, 16, 638.49, 638.48, 638.48, 1644, 200, 0.000, 0.000, 0.000, 0.000, 0, 200, -1444, -1444, 200, -1644, 0, -1444
2025-7-29, 04:20:00.000000, 638.53, 638.53, 638.53, 638.53, 100, 1, 638.53, 638.53, 638.53, 0, 100, 0.000, 0.000, 0.000, 0.000, 100, 100, 100, 100, 100, 0, 0, 100
2025-7-29, 04:25:00.000000, 638.54, 638.55, 638.52, 638.55, 300, 3, 638.54, 638.54, 638.54, 100, 200, 0.000, 0.000, 0.000, 0.000, 0, 100, -100, 100, 200, -100, 0, 100
2025-7-29, 04:30:00.000000, 638.50, 638.51, 638.49, 638.51, 548, 4, 638.50, 638.50, 638.50, 548, 0, 0.000, 0.000, 0.000, 0.000, -348, -348, -548, -548, 0, -548, 0, -548
2025-7-29, 04:35:00.000000, 638.52, 638.52, 638.46, 638.48, 673, 6, 638.49, 638.49, 638.49, 273, 400, 0.000, 0.000, 0.000, 0.000, 0, 127, -173, 127, 400, -273, 0, 127
2025-7-29, 04:40:00.000000, 638.47, 638.50, 638.43, 638.46, 2238, 18, 638.46, 638.46, 638.46, 1538, 700, 0.000, 0.000, 0.000, 0.000, 0, 300, -838, -838, 700, -1538, 0, -838
2025-7-29, 04:45:00.000000, 638.42, 638.43, 638.25, 638.29, 19901, 55, 638.35, 638.32, 638.34, 2791, 17110, 0.000, 0.000, 0.000, 0.000, 0, 14419, -790, 14319, 17110, -2791, 0, 14319
2025-7-29, 04:50:00.000000, 638.27, 638.41, 638.27, 638.37, 1700, 10, 638.33, 638.35, 638.34, 1500, 200, 0.000, 0.000, 0.000, 0.000, -200, -200, -1300, -1300, 200, -1500, 0, -1300
2025-7-29, 04:55:00.000000, 638.34, 638.34, 638.32, 638.32, 300, 3, 638.33, 638.33, 638.33, 200, 100, 0.000, 0.000, 0.000, 0.000, 0, 100, -100, -100, 100, -200, 0, -100
2025-7-29, 05:00:00.000000, 638.34, 638.42, 638.34, 638.42, 1589, 8, 638.38, 638.39, 638.38, 400, 1189, 0.000, 0.000, 0.000, 0.000, 130, 889, 130, 789, 1189, -400, 0, 789
2025-7-29, 05:05:00.000000, 638.48, 638.49, 638.46, 638.47, 2108, 11, 638.47, 638.47, 638.47, 600, 1508, 0.000, 0.000, 0.000, 0.000, 0, 908, -400, 908, 1508, -600, 0, 908
2025-7-29, 05:10:00.000000, 638.48, 638.57, 638.47, 638.57, 3047, 18, 638.52, 638.54, 638.52, 2347, 700, 0.000, 0.000, 0.000, 0.000, 0, 600, -1647, -1647, 700, -2347, 0, -1647
2025-7-29, 05:15:00.000000, 638.65, 638.65, 638.44, 638.45, 1210, 9, 638.55, 638.51, 638.55, 810, 400, 0.000, 0.000, 0.000, 0.000, 0, 300, -410, -410, 400, -810, 0, -410
2025-7-29, 05:20:00.000000, 638.37, 638.38, 638.30, 638.36, 2011, 11, 638.35, 638.35, 638.34, 848, 1163, 0.000, 0.000, 0.000, 0.000, 0, 452, -248, 315, 1163, -848, 0, 315
2025-7-29, 05:25:00.000000, 638.40, 638.40, 638.35, 638.36, 463, 3, 638.38, 638.37, 638.38, 0, 463, 0.000, 0.000, 0.000, 0.000, 100, 463, 100, 463, 463, 0, 0, 463
2025-7-29, 05:30:00.000000, 638.46, 638.50, 638.44, 638.50, 1152, 5, 638.47, 638.48, 638.47, 591, 561, 0.000, 0.000, 0.000, 0.000, 0, 261, -230, -30, 561, -591, 0, -30
2025-7-29, 05:40:00.000000, 638.55, 638.55, 638.48, 638.48, 1400, 14, 638.52, 638.50, 638.52, 700, 700, 0.000, 0.000, 0.000, 0.000, 0, 100, -600, 0, 700, -700, 0, 0
